id,match_id,datetime,game_mode,map_name,team,player_name,kills,deaths,assists,score,weapon,ping,coins,match_length,created_at,tags
24.0,7,2025-07-12 14:19:04+00:00,FFA,Refinery,,MaXiMus22,12,12,,1850,AR,50,,10,2025-07-12T14:19:06.264607+00:00,
25.0,8,2025-07-12 14:29:01+00:00,FFA,Factory,,DevilOHeaven,36,24,,5620,AR,50,,10,2025-07-12T14:29:03.253653+00:00,
26.0,8,2025-07-12 14:29:01+00:00,FFA,Factory,,Heet63,29,34,,4490,AR,50,,10,2025-07-12T14:29:03.253653+00:00,
9.0,3,2025-07-10 15:20:58+00:00,FFA,Factory,,DevilOHeaven,55,26,,8880,AR,50,,5,2025-07-10T09:51:02.958873+00:00,
2.0,1,2025-07-10 04:25:42.490797+00:00,FFA,Refinery,,DevilOHeaven,13,5,,1950,AR,50,,5,2025-07-10T08:05:20.914137+00:00,
3.0,1,2025-07-10 04:25:42.490797+00:00,FFA,Refinery,,MaXiMus22,5,13,,750,AR,50,,5,2025-07-10T08:05:20.914137+00:00,
4.0,2,2025-07-10 15:17:12+00:00,FFA,Factory,,DevilOHeaven,64,27,,10620,AR,50,,5,2025-07-10T09:47:17.903033+00:00,
5.0,2,2025-07-10 15:17:12+00:00,FFA,Factory,,MaXiMus22,48,38,,7750,AR,50,,5,2025-07-10T09:47:17.903033+00:00,
6.0,2,2025-07-10 15:17:12+00:00,FFA,Factory,,NeO23,38,39,,6250,SMG,50,,5,2025-07-10T09:47:17.903033+00:00,
7.0,2,2025-07-10 15:17:12+00:00,FFA,Factory,,dumppp07,18,27,,2920,Shotgun,50,,5,2025-07-10T09:47:17.903033+00:00,
8.0,2,2025-07-10 15:17:12+00:00,FFA,Factory,,Crazy dhit,13,50,,2420,AR,50,,5,2025-07-10T09:47:17.903033+00:00,
10.0,3,2025-07-10 15:20:58+00:00,FFA,Factory,,MaXiMus22,38,41,,6860,AR,50,,5,2025-07-10T09:51:02.958873+00:00,
11.0,3,2025-07-10 15:20:58+00:00,FFA,Factory,,dumppp07,31,23,,4790,Sniper,50,,5,2025-07-10T09:51:02.958873+00:00,
12.0,3,2025-07-10 15:20:58+00:00,FFA,Factory,,NeO23,26,40,,4220,AR,50,,5,2025-07-10T09:51:02.958873+00:00,
13.0,3,2025-07-10 15:20:58+00:00,FFA,Factory,,Crazy dhit,20,40,,3120,AR,50,,5,2025-07-10T09:51:02.958873+00:00,
14.0,4,2025-07-12 14:16:05+00:00,FFA,Factory,,DevilOHeaven,14,8,,2780,AR,50,,5,2025-07-12T14:16:07.138396+00:00,
15.0,4,2025-07-12 14:16:05+00:00,FFA,Factory,,Heet63,8,14,,1640,AR,50,,5,2025-07-12T14:16:07.138396+00:00,
16.0,5,2025-07-12 14:17:46+00:00,Team,Factory,Team1,DevilOHeaven,14,12,0.0,2100,AR,50,,5,2025-07-12T14:17:48.014332+00:00,
17.0,5,2025-07-12 14:17:46+00:00,Team,Factory,Team2,MaXiMus22,6,7,0.0,1050,AR,50,,5,2025-07-12T14:17:48.014332+00:00,
18.0,5,2025-07-12 14:17:46+00:00,Team,Factory,Team2,Heet63,6,7,0.0,950,AR,50,,5,2025-07-12T14:17:48.014332+00:00,
19.0,6,2025-07-12 14:18:34+00:00,FFA,Vineyard,,DevilOHeaven,22,14,,3440,AR,50,,5,2025-07-12T14:18:35.499099+00:00,
20.0,6,2025-07-12 14:18:34+00:00,FFA,Vineyard,,Heet63,11,12,,1670,AR,50,,5,2025-07-12T14:18:35.499099+00:00,
21.0,6,2025-07-12 14:18:34+00:00,FFA,Vineyard,,MaXiMus22,10,17,,1620,AR,50,,5,2025-07-12T14:18:35.499099+00:00,
22.0,7,2025-07-12 14:19:04+00:00,FFA,Refinery,,DevilOHeaven,15,12,,2420,SMG,50,,10,2025-07-12T14:19:06.264607+00:00,
23.0,7,2025-07-12 14:19:04+00:00,FFA,Refinery,,Heet63,12,15,,2000,AR,50,,10,2025-07-12T14:19:06.264607+00:00,
,9,2025-07-13 16:51:23.973566,Confirm,Forest,,MaXiMus22,29,24,,5220,AR,50,,10,,34
,9,2025-07-13 16:51:23.973566,Confirm,Forest,,DevilOHeaven,38,26,,6690,AR,50,,10,,32
,9,2025-07-13 16:51:23.973566,Confirm,Forest,,Heet63,12,29,,2160,AR,50,,10,,13
,10,2025-07-13 16:55:43.841715,FFA,Factory,,DevilOHeaven,32,22,,5210,AR,50,,10,,
,10,2025-07-13 16:55:43.841715,FFA,Factory,,Heet63,28,33,,4720,AR,50,,10,,
,10,2025-07-13 16:55:43.841715,FFA,Factory,,MaXiMus22,25,30,,4240,AR,50,,10,,
